schedule,peak_lr,decay_start,step300_val_loss
cosine,0.1,,0.0021456910762935877
cosine,0.2,,0.0010879066539928317
cosine,0.4,,0.0006339103565551341
cosine,0.8,,1.785819411277771
wsd,0.1,210.0,0.001981911715120077
wsd,0.2,210.0,0.0014318129979074001
wsd,0.4,210.0,0.0016723985318094492
wsd,0.8,210.0,2.024763584136963
wsd,0.1,240.0,0.0019458146998658776
wsd,0.2,240.0,0.0014327209210023284
wsd,0.4,240.0,0.0019475294975563884
wsd,0.8,240.0,2.96871018409729
