step,layer,update_to_weight_warmup,update_to_weight_no_warmup,relative_uw_gap
20,fc1,0.018463639109119,0.015020675972901,0.2292149262922853
21,fc1,0.0181700555790929,0.0148462204720724,0.2238842615229364
87,fc1,0.0098279177228068,0.0093646959029544,0.0494646942733938
88,fc1,0.0097653639694613,0.0093235305684719,0.0473890655151716
89,fc1,0.0099032000984731,0.0094468845186294,0.0483032875966229
90,fc1,0.0099531996844997,0.009483861209124,0.0494881214493871
91,fc1,0.0098487526141496,0.0094043253762091,0.0472577479100819
20,fc2,0.048713712652517,0.0275237110787484,0.769881703538148
21,fc2,0.0449957570022334,0.0266136744950003,0.6907006587908634
87,fc2,0.0121187792670765,0.011749386323688,0.0314393393136063
88,fc2,0.0121668392695957,0.0118483612488075,0.0268794995420407
89,fc2,0.0122615838242444,0.011866655921683,0.033280471358954
90,fc2,0.012054629881068,0.0116474135576426,0.0349619528297089
91,fc2,0.0119164120524581,0.0115530674856594,0.0314500514446332
