width,peak_lr,val_loss_mean,val_loss_std
256,0.004,1.165787895520528,0.0037161268148608925
256,0.005,1.1479702790578206,0.005056861105268554
256,0.006,1.1377369960149126,0.006274109744985677
256,0.008,1.1293074289957683,0.009348533740101759
256,0.01,1.1295026938120525,0.012771083667971016
256,0.012,1.1358686685562134,0.015539001223979542
512,0.004,1.1187715927759807,0.0015113869858357878
512,0.005,1.1074639161427815,0.0007463753911789068
512,0.006,1.101707140604655,0.0006032951698306804
512,0.008,1.100018302599589,0.0011660746714708763
512,0.01,1.1073834498723347,0.005301499612690297
512,0.012,1.1197127898534138,0.008488538150595202
1024,0.004,1.0958282152811687,0.0036259742894895804
1024,0.005,1.0884215831756592,0.004698505503286949
1024,0.006,1.0854638417561848,0.005499052996200867
1024,0.008,1.0902443726857503,0.005324021478349399
1024,0.01,1.10536793867747,0.005568174362569903
1024,0.012,1.1275452375411987,0.007585736255163344
