schedule,peak_lr,decay_start,tune_seed,step300_train_loss,step300_val_loss
cosine,0.0035,,37,0.7583881616592407,1.0769727230072021
cosine,0.0035,,38,0.7609639763832092,1.0794843435287476
cosine,0.0035,,39,0.7785861492156982,1.075343132019043
cosine,0.0045,,37,0.6808570027351379,1.0616912841796875
cosine,0.0045,,38,0.6902695298194885,1.0626163482666016
cosine,0.0045,,39,0.698072075843811,1.0607268810272217
cosine,0.0055,,37,0.6101779341697693,1.0559465885162354
cosine,0.0055,,38,0.6295524835586548,1.05385160446167
cosine,0.0055,,39,0.6261709928512573,1.0552741289138794
cosine,0.0065,,37,0.5449297428131104,1.0579819679260254
cosine,0.0065,,38,0.5746046304702759,1.0515400171279907
cosine,0.0065,,39,0.5624874234199524,1.056656837463379
cosine,0.0075,,37,0.4856688380241394,1.0662295818328857
cosine,0.0075,,38,0.5237699151039124,1.0548564195632935
cosine,0.0075,,39,0.5042074918746948,1.0635120868682861
wsd,0.0025,210.0,37,0.7052747011184692,1.0753757953643799
wsd,0.0025,210.0,38,0.7063047289848328,1.071223497390747
wsd,0.0025,210.0,39,0.7400214672088623,1.0746691226959229
wsd,0.0035,210.0,37,0.5723616480827332,1.0658844709396362
wsd,0.0035,210.0,38,0.5793133974075317,1.0564093589782715
wsd,0.0035,210.0,39,0.6053499579429626,1.0621705055236816
wsd,0.0045,210.0,37,0.4614573121070862,1.0753631591796875
wsd,0.0045,210.0,38,0.48165154457092285,1.060747504234314
wsd,0.0045,210.0,39,0.4974660873413086,1.06817626953125
wsd,0.0055,210.0,37,0.37931010127067566,1.0975098609924316
wsd,0.0055,210.0,38,0.4120316207408905,1.0784965753555298
wsd,0.0055,210.0,39,0.41921111941337585,1.0886170864105225
wsd,0.0025,240.0,37,0.6795514822006226,1.0793343782424927
wsd,0.0025,240.0,38,0.680998682975769,1.0721733570098877
wsd,0.0025,240.0,39,0.7155911922454834,1.0779281854629517
wsd,0.0035,240.0,37,0.5378532409667969,1.075005054473877
wsd,0.0035,240.0,38,0.5508056879043579,1.0613610744476318
wsd,0.0035,240.0,39,0.573028028011322,1.0699372291564941
wsd,0.0045,240.0,37,0.4226926267147064,1.0904489755630493
wsd,0.0045,240.0,38,0.4543256163597107,1.072514533996582
wsd,0.0045,240.0,39,0.46321558952331543,1.0834249258041382
wsd,0.0055,240.0,37,0.3433912694454193,1.1190859079360962
wsd,0.0055,240.0,38,0.3886795938014984,1.0974024534225464
wsd,0.0055,240.0,39,0.38615038990974426,1.111595869064331
wsd,0.0025,270.0,37,0.6565931439399719,1.0920788049697876
wsd,0.0025,270.0,38,0.6629161238670349,1.0814012289047241
wsd,0.0025,270.0,39,0.6928202509880066,1.0886454582214355
wsd,0.0035,270.0,37,0.5108626484870911,1.0983688831329346
wsd,0.0035,270.0,38,0.5367527604103088,1.080819845199585
wsd,0.0035,270.0,39,0.5537305474281311,1.0926741361618042
wsd,0.0045,270.0,37,0.40029242634773254,1.1242680549621582
wsd,0.0045,270.0,38,0.4459461271762848,1.1017159223556519
wsd,0.0045,270.0,39,0.44742336869239807,1.1171777248382568
wsd,0.0055,270.0,37,0.3366890549659729,1.1651723384857178
wsd,0.0055,270.0,38,0.3906758725643158,1.133694052696228
wsd,0.0055,270.0,39,0.3757278621196747,1.1532772779464722
