schedule,step,val_loss_mean,val_loss_std,train_loss_mean
cosine,200,0.00097410708743458,0.0004377987236158453,0.0009388452745042741
cosine,300,0.0010631642653606832,0.00036659095220319273,0.0010170059200997155
wsd,200,0.0014815603305275242,9.322712135186147e-05,0.0014893639987955491
wsd,300,0.0014907981191451352,9.459720775881412e-05,0.0014730570449804266
